Date,聯電,台達電,鴻海,台積電,廣達,中華電,聯發科,日月光投控,加權指數
2026-02-03,60.79999923706055,1208.6798095703125,210.23915100097656,1789.37255859375,276.5,133.5,1795.0,299.2646179199219,32195.359375
2026-02-04,61.79999923706055,1203.705810546875,212.66685485839844,1774.4610595703125,278.0,133.0,1800.0,299.7601013183594,32289.810546875
2026-02-05,61.5,1144.0179443359375,209.26806640625,1754.5792236328125,273.0,132.5,1770.0,281.42767333984375,31801.26953125
2026-02-06,61.900001525878906,1153.9659423828125,208.7825164794922,1769.49072265625,279.5,133.0,1710.0,301.7419738769531,31782.919921875
2026-02-09,62.400001525878906,1173.86181640625,212.18130493164062,1804.283935546875,284.0,132.0,1830.0,324.0381774902344,32404.619140625
2026-02-10,62.400001525878906,1178.8358154296875,214.6090087890625,1868.9002685546875,285.0,132.5,1845.0,340.88421630859375,33072.96875
2026-02-11,62.79999923706055,1253.4456787109375,220.4355010986328,1903.693603515625,286.0,133.0,1855.0,351.28912353515625,33605.7109375
2026-02-23,63.900001525878906,1298.211669921875,221.89212036132812,1888.7822265625,283.5,135.0,1795.0,345.83892822265625,33773.26171875
2026-02-24,67.5,1377.7955322265625,225.29090881347656,1953.3983154296875,284.0,135.5,1825.0,378.0445556640625,34700.8203125
2026-02-25,65.5,1427.535400390625,239.37158203125,2003.1031494140625,297.5,136.0,1870.0,385.47662353515625,35413.0703125
2026-02-26,65.4000015258789,1422.5614013671875,235.97280883789062,1983.2213134765625,291.5,134.0,1945.0,383.9902038574219,35414.48828125
2026-03-02,64.5,1417.58740234375,232.08847045898438,1963.33935546875,301.0,138.0,1900.0,367.1441955566406,35095.08984375
2026-03-03,62.599998474121094,1333.029541015625,222.37765502929688,1923.575439453125,294.5,138.0,1815.0,356.24383544921875,34323.6484375
2026-03-04,60.0,1248.4716796875,210.7246856689453,1853.98876953125,281.0,135.5,1720.0,324.5336608886719,32828.87890625
2026-03-05,62.099998474121094,1328.0555419921875,217.52224731445312,1888.7822265625,289.5,137.0,1775.0,350.29815673828125,33672.94140625
2026-03-06,62.0,1313.133544921875,216.55117797851562,1878.8411865234375,289.0,136.5,1765.0,338.9023132324219,33599.5390625
2026-03-09,59.70000076293945,1213.65380859375,204.41265869140625,1799.3134765625,282.0,136.0,1665.0,317.1015930175781,32110.419921875
2026-03-10,60.400001525878906,1283.2896728515625,203.4415740966797,1839.077392578125,282.5,135.0,1705.0,332.4612121582031,32771.87109375
2026-03-11,62.20000076293945,1392.7174072265625,212.66685485839844,1928.5460205078125,289.0,135.5,1765.0,342.3706359863281,34114.19140625
2026-03-12,60.599998474121094,1362.87353515625,208.29698181152344,1873.8707275390625,288.5,136.0,1785.0,331.9657287597656,33581.859375
2026-03-13,59.5,1377.7955322265625,208.29698181152344,1853.98876953125,289.0,136.0,1720.0,338.4068603515625,33400.3203125
2026-03-16,60.5,1352.925537109375,210.23915100097656,1834.10693359375,289.0,136.5,1710.0,334.4430847167969,33342.51171875
2026-03-17,60.70000076293945,1432.5093994140625,205.86927795410156,1865.0244140625,289.0,137.0,1730.0,338.9023132324219,33836.5703125
2026-03-18,61.099998474121094,1457.37939453125,203.92710876464844,1899.9312744140625,293.0,137.5,1730.0,354.2619323730469,34348.578125
2026-03-19,58.70000076293945,1447.431396484375,199.0717010498047,1845.07763671875,286.5,135.5,1680.0,343.8570251464844,33689.6796875
2026-03-20,57.79999923706055,1467.3272705078125,197.12954711914062,1835.104248046875,283.5,134.0,1700.0,340.88421630859375,33543.87890625
2026-03-23,56.70000076293945,1402.6654052734375,190.33197021484375,1805.18408203125,280.0,134.0,1625.0,326.5155334472656,32722.5
2026-03-24,56.5,1407.639404296875,189.3608856201172,1805.18408203125,281.5,134.0,1620.0,329.4883728027344,32612.240234375
2026-03-25,59.099998474121094,1541.9371337890625,194.21629333496094,1840.0909423828125,285.0,135.0,1620.0,348.811767578125,33439.109375
2026-03-26,58.20000076293945,1507.1192626953125,194.70184326171875,1835.104248046875,287.0,134.5,1590.0,355.74835205078125,33337.62109375
2026-03-27,57.79999923706055,1502.145263671875,193.7307586669922,1815.157470703125,289.0,134.0,1585.0,350.29815673828125,33112.58984375
2026-03-30,57.0,1477.2752685546875,188.3898162841797,1775.263916015625,281.0,134.0,1510.0,350.29815673828125,32518.16015625
2026-03-31,56.5,1372.821533203125,182.07777404785156,1755.317138671875,278.5,133.0,1490.0,325.52459716796875,31722.990234375
2026-04-01,57.400001525878906,1467.3272705078125,191.3030548095703,1850.0643310546875,290.5,134.0,1465.0,357.730224609375,33174.8203125
2026-04-02,53.599998474121094,1422.5614013671875,187.41873168945312,1805.18408203125,284.5,134.0,1465.0,357.730224609375,32572.4296875
2026-04-07,58.29999923706055,1507.1192626953125,186.44764709472656,1855.051025390625,289.0,134.0,1470.0,348.811767578125,33229.8203125
2026-04-08,60.29999923706055,1656.3389892578125,195.6729278564453,1944.8115234375,307.5,134.0,1580.0,379.5309753417969,34761.37890625
2026-04-09,60.0,1636.4429931640625,194.21629333496094,1949.7982177734375,313.0,135.0,1575.0,388.449462890625,34861.16015625
2026-04-10,62.0,1725.974853515625,194.70184326171875,1994.678466796875,321.5,135.5,1575.0,389.4403991699219,35417.828125
2026-04-13,60.099998474121094,1730.9488525390625,194.21629333496094,1984.705078125,319.0,134.5,1620.0,413.7184753417969,35457.2890625
2026-04-14,59.70000076293945,1740.8968505859375,201.49940490722656,2049.5322265625,323.0,135.0,1720.0,420.15960693359375,36296.12109375
2026-04-15,62.099998474121094,1775.7147216796875,201.49940490722656,2074.465576171875,308.5,135.5,1790.0,442.455810546875,36722.140625
2026-04-16,68.30000305175781,1835.402587890625,201.0138702392578,2079.452392578125,318.5,136.5,1895.0,446.4195861816406,37132.01953125
2026-04-17,73.0,1830.4287109375,200.04278564453125,2024.5986328125,323.0,137.5,1925.0,437.99658203125,36804.33984375
2026-04-20,76.9000015258789,1890.1165771484375,201.49940490722656,2019.6119384765625,329.0,137.0,1900.0,457.3199462890625,36958.80078125
2026-04-21,76.19999694824219,2004.518310546875,204.898193359375,2044.54541015625,340.0,137.0,2090.0,467.724853515625,37605.109375
